CustomerID,Gender,Region,SubscriptionPlan,StartDate,EndDate,MonthlyUsageHours,Complaints,LastPaymentDate,PaymentStatus,Churned
CU1001,Male,Western,Premium,09/10/2022,14/09/2023,48.5,1,20/06/2023,Overdue,Yes
CU1002,Male,Bono East,Basic,06/04/2022,13/02/2023,50.4,9,10/02/2023,Overdue,Yes
CU1003,Male,Bono East,Standard,27/08/2023,04/09/2024,162.8,0,30/05/2024,Paid,Yes
CU1004,Female,Bono East,Standard,09/06/2022,15/04/2023,191.7,5,02/04/2023,Paid,No
CU1005,Female,Western,Standard,11/09/2023,05/09/2024,162.4,7,29/06/2024,Paid,No
CU1006,Female,Eastern,Premium,26/09/2023,29/12/2024,117.6,1,24/12/2024,Overdue,Yes
CU1007,Male,Savannah,Basic,06/06/2024,16/12/2024,79.1,7,26/09/2024,Pending,Yes
CU1008,Female,Ahafo,Basic,18/11/2023,15/11/2024,141.9,10,25/08/2024,Paid,Yes
CU1009,Male,Volta,Basic,19/04/2023,09/08/2024,57.6,10,13/05/2024,Overdue,Yes
CU1010,Male,Oti,Basic,21/04/2024,21/08/2024,162.0,6,18/07/2024,Paid,No
CU1011,Male,Oti,Premium,27/05/2023,03/10/2024,177.5,10,06/08/2024,Paid,No
CU1012,Male,Central,Premium,29/07/2023,30/04/2025,56.2,9,07/03/2025,Overdue,No
CU1013,Male,Ahafo,Basic,06/06/2023,21/01/2025,22.7,0,03/10/2024,Paid,No
CU1014,Female,Volta,Premium,07/03/2022,04/07/2023,79.4,7,28/04/2023,Pending,Yes
CU1015,Female,Western,Premium,15/12/2022,07/07/2023,62.2,2,10/05/2023,Paid,Yes
CU1016,Male,Upper West,Premium,19/04/2022,18/04/2024,63.2,10,14/02/2024,Overdue,Yes
CU1017,Female,Central,Basic,07/07/2023,31/03/2025,184.1,9,18/02/2025,Pending,Yes
CU1018,Female,Western,Standard,03/09/2022,30/01/2023,52.0,9,20/01/2023,Paid,Yes
CU1019,Male,Western North,Premium,24/02/2024,29/09/2024,30.0,7,21/07/2024,Paid,No
CU1020,Male,Bono East,Premium,13/02/2024,04/12/2024,144.0,6,10/09/2024,Overdue,No
CU1021,Female,North East,Basic,11/09/2022,28/07/2023,17.5,0,14/05/2023,Overdue,Yes
CU1022,Male,Upper East,Basic,26/12/2023,24/05/2024,49.6,0,04/02/2024,Pending,Yes
CU1023,Female,Upper East,Premium,13/05/2023,17/03/2024,110.2,9,04/01/2024,Pending,Yes
CU1024,Female,Western North,Basic,07/04/2022,13/10/2022,133.5,5,20/08/2022,Pending,No
CU1025,Male,Ashanti,Basic,17/02/2023,29/04/2024,161.1,1,29/03/2024,Paid,No
CU1026,Male,North East,Standard,07/07/2022,17/07/2023,95.2,1,22/05/2023,Overdue,Yes
CU1027,Male,Ashanti,Basic,11/02/2024,08/01/2025,37.4,7,08/11/2024,Paid,No
CU1028,Male,Ashanti,Standard,03/01/2022,07/05/2023,56.7,7,01/04/2023,Pending,No
CU1029,Male,Central,Standard,11/08/2022,07/01/2023,117.9,8,31/12/2022,Overdue,No
CU1030,Male,Ashanti,Premium,04/05/2023,28/12/2024,184.3,8,08/12/2024,Paid,Yes
CU1031,Male,Eastern,Basic,02/09/2023,08/02/2024,136.7,3,19/12/2023,Paid,Yes
CU1032,Male,Upper East,Premium,25/03/2022,26/08/2023,133.2,9,21/06/2023,Pending,No
CU1033,Female,Northern,Basic,29/09/2022,06/02/2024,30.5,10,30/12/2023,Pending,No
CU1034,Male,Eastern,Standard,29/09/2023,26/07/2025,199.2,1,19/05/2025,Paid,Yes
CU1035,Male,Upper West,Standard,21/06/2024,28/11/2024,176.5,5,23/10/2024,Paid,No
CU1036,Male,Savannah,Premium,16/04/2024,02/02/2026,63.4,10,20/01/2026,Paid,No
CU1037,Male,Western,Premium,21/07/2023,26/03/2024,58.1,9,29/02/2024,Overdue,No
CU1038,Female,Northern,Premium,16/05/2023,27/04/2024,181.5,0,16/04/2024,Overdue,No
CU1039,Male,Upper West,Basic,08/12/2022,19/07/2023,129.2,4,29/06/2023,Overdue,No
CU1040,Male,Bono East,Basic,19/03/2022,16/11/2022,111.4,5,03/09/2022,Overdue,Yes
CU1041,Male,Bono East,Basic,12/11/2022,18/02/2024,180.3,0,26/10/2023,Pending,Yes
CU1042,Male,Upper East,Standard,09/03/2024,01/01/2026,177.4,6,14/10/2025,Overdue,Yes
CU1043,Male,Upper East,Basic,21/06/2024,15/11/2025,9.8,5,07/08/2025,Pending,Yes
CU1044,Male,Upper West,Premium,21/04/2022,15/08/2023,175.1,7,18/07/2023,Paid,No
CU1045,Female,Ahafo,Basic,17/08/2022,09/12/2022,133.7,6,28/10/2022,Pending,Yes
CU1046,Female,Upper West,Premium,06/06/2023,17/10/2024,137.5,8,05/09/2024,Paid,No
CU1047,Male,Upper West,Premium,29/09/2022,05/02/2023,26.1,6,23/12/2022,Overdue,No
CU1048,Male,Bono East,Standard,14/08/2023,24/05/2024,54.7,6,24/05/2024,Overdue,Yes
CU1049,Female,Ahafo,Basic,12/11/2023,13/01/2025,126.5,10,27/09/2024,Paid,Yes
CU1050,Female,Savannah,Premium,23/02/2023,22/04/2024,83.5,4,12/02/2024,Paid,No
CU1051,Female,Bono East,Premium,06/02/2024,31/10/2024,125.0,4,10/09/2024,Overdue,Yes
CU1052,Female,Savannah,Basic,17/03/2023,28/01/2025,123.3,5,30/11/2024,Pending,No
CU1053,Female,Northern,Premium,23/06/2022,16/12/2022,60.3,10,26/09/2022,Overdue,No
CU1054,Male,Eastern,Premium,14/11/2022,30/09/2023,162.3,2,27/09/2023,Paid,No
CU1055,Male,Western North,Standard,01/03/2023,08/01/2025,42.9,6,06/11/2024,Pending,Yes
CU1056,Male,Central,Basic,08/03/2024,15/08/2025,47.7,8,17/06/2025,Paid,Yes
CU1057,Male,Upper East,Standard,17/05/2022,03/12/2023,135.2,8,18/09/2023,Pending,No
CU1058,Female,Bono East,Basic,01/02/2024,30/08/2025,92.8,3,15/05/2025,Overdue,No
CU1059,Male,Western North,Standard,27/03/2023,12/09/2023,144.1,3,09/08/2023,Pending,No
CU1060,Male,Eastern,Basic,25/08/2022,20/12/2023,140.3,3,12/12/2023,Pending,No
CU1061,Female,Oti,Standard,05/03/2022,31/12/2022,167.4,6,07/09/2022,Overdue,Yes
CU1062,Female,Bono,Basic,27/12/2022,26/01/2024,151.9,6,19/11/2023,Overdue,Yes
CU1063,Male,Western North,Standard,23/03/2023,30/10/2024,10.7,5,06/08/2024,Overdue,No
CU1064,Female,Volta,Basic,30/09/2023,27/06/2025,10.3,6,13/04/2025,Overdue,Yes
CU1065,Female,Eastern,Basic,06/06/2024,20/12/2025,40.4,4,02/11/2025,Pending,Yes
CU1066,Female,North East,Standard,19/02/2024,11/06/2025,59.3,6,10/05/2025,Paid,No
CU1067,Male,Greater Accra,Standard,18/08/2022,25/01/2023,157.3,10,20/01/2023,Paid,No
CU1068,Male,Northern,Premium,06/06/2022,06/05/2023,29.6,10,22/04/2023,Overdue,Yes
CU1069,Female,North East,Standard,21/06/2022,31/05/2024,123.4,1,22/02/2024,Paid,No
CU1070,Male,Western,Standard,13/08/2023,29/11/2024,82.3,3,20/11/2024,Overdue,Yes
CU1071,Female,Western,Premium,07/09/2023,07/04/2024,160.3,9,29/12/2023,Paid,No
CU1072,Female,Bono East,Basic,03/06/2023,15/08/2024,7.5,6,02/05/2024,Pending,Yes
CU1073,Female,Bono East,Premium,01/07/2024,12/01/2026,142.9,6,21/12/2025,Overdue,No
CU1074,Female,Western North,Standard,25/04/2024,22/03/2026,57.3,3,06/12/2025,Paid,No
CU1075,Male,North East,Standard,07/08/2023,21/07/2025,135.3,5,18/07/2025,Pending,No
CU1076,Female,Volta,Basic,30/12/2022,19/12/2023,71.4,9,21/09/2023,Pending,Yes
CU1077,Male,Northern,Basic,08/01/2024,28/05/2025,100.3,3,01/03/2025,Pending,No
